type,client,tx,amount
deposit,239,13214,7
withdrawal,554,13216,8
dispute,146,3267
withdrawal,194,13218,9
withdrawal,59,13219,3
withdrawal,582,13220,2
deposit,929,13221,6
withdrawal,669,13223,12
deposit,630,13224,3
withdrawal,271,13225,8
deposit,906,13226,11
deposit,252,13227,4
deposit,43,13229,6
deposit,916,13230,13
deposit,763,13231,18
deposit,77,13232,0
deposit,953,13233,5
deposit,893,13234,11
resolve,239,9738
chargeback,146,3267
deposit,243,13238,11
withdrawal,166,13240,1
withdrawal,840,13241,7
deposit,867,13243,17
deposit,631,13245,14
deposit,760,13246,8
withdrawal,862,13247,5
deposit,661,13248,17
deposit,964,13249,17
withdrawal,100,13250,2
deposit,538,13251,19
deposit,852,13253,13
withdrawal,930,13254,10
withdrawal,595,13257,7
dispute,806,7558
deposit,478,13259,14
deposit,550,13262,4
deposit,681,13264,9
withdrawal,253,13265,5
withdrawal,965,13266,8
withdrawal,84,13267,10
deposit,958,13268,8
withdrawal,161,13270,8
withdrawal,8,13271,14
withdrawal,298,13272,15
withdrawal,835,13273,14
deposit,153,13274,15
withdrawal,585,13275,11
deposit,710,13276,9
withdrawal,660,13277,8
deposit,12,13278,8
withdrawal,811,13279,18
deposit,104,13280,8
withdrawal,10,13281,17
deposit,3,13282,4
deposit,861,13287,11
withdrawal,349,13288,16
withdrawal,583,13289,3
withdrawal,526,13290,1
deposit,111,13292,6
deposit,820,13294,3
resolve,806,7558
withdrawal,475,13296,8
deposit,109,13297,17
withdrawal,858,13299,3
withdrawal,756,13300,16
deposit,61,13302,14
withdrawal,475,13304,8
deposit,952,13305,16
withdrawal,706,13307,5
deposit,972,13309,1
withdrawal,781,13310,13
deposit,952,13311,1
deposit,358,13315,2
withdrawal,902,13316,6
deposit,271,13318,2
deposit,871,13319,13
withdrawal,879,13320,19
deposit,98,13321,2
withdrawal,616,13322,11
deposit,613,13323,7
deposit,917,13324,13
withdrawal,600,13325,11
withdrawal,671,13326,15
deposit,952,13327,13
withdrawal,535,13330,9
deposit,844,13331,19
deposit,43,13332,6
deposit,830,13333,13
deposit,328,13334,7
withdrawal,892,13335,3
withdrawal,34,13336,7
deposit,905,13337,12
withdrawal,657,13338,4
deposit,619,13339,16
withdrawal,738,13340,16
withdrawal,18,13341,19
deposit,91,13345,1
deposit,256,13346,7
deposit,527,13347,17
deposit,932,13348,8
deposit,743,13349,9
withdrawal,336,13350,2
withdrawal,484,13352,14
withdrawal,275,13353,11
withdrawal,900,13355,19
deposit,235,13356,0
deposit,780,13357,8
deposit,967,13358,4
deposit,467,13360,14
deposit,635,13361,9
deposit,948,13362,8
deposit,443,13363,19
deposit,556,13364,16
withdrawal,311,13365,11
withdrawal,291,13367,8
deposit,117,13368,11
deposit,909,13369,5
dispute,731,4694
deposit,153,13372,15
withdrawal,381,13373,4
deposit,956,13374,18
withdrawal,789,13375,2
deposit,53,13376,11
chargeback,731,4694
withdrawal,862,13378,17
withdrawal,407,13380,15
withdrawal,97,13382,2
withdrawal,291,13383,19
deposit,144,13384,17
deposit,547,13385,3
withdrawal,603,13386,8
withdrawal,248,13387,17
withdrawal,719,13389,8
withdrawal,592,13390,7
deposit,619,13391,7
deposit,697,13392,12
deposit,700,13393,4
deposit,852,13395,1
deposit,113,13396,13
withdrawal,818,13398,6
withdrawal,482,13399,3
withdrawal,531,13400,0
deposit,275,13401,4
deposit,713,13403,0
deposit,395,13404,3
withdrawal,205,13405,18
withdrawal,470,13406,6
withdrawal,961,13407,10
deposit,712,13408,14
deposit,195,13410,2
deposit,229,13412,4
deposit,842,13415,12
deposit,235,13416,11
withdrawal,978,13417,10
withdrawal,569,13418,1
deposit,859,13419,10
deposit,359,13420,13
withdrawal,484,13422,4
dispute,981,9503
deposit,166,13425,16
withdrawal,941,13427,17
deposit,82,13428,10
withdrawal,818,13429,4
withdrawal,788,13430,6
deposit,951,13431,16
deposit,733,13432,3
withdrawal,440,13433,15
deposit,60,13434,17
withdrawal,937,13435,2
deposit,164,13436,15
chargeback,981,9503
withdrawal,644,13438,8
deposit,117,13439,6
withdrawal,789,13442,9
deposit,410,13444,0
deposit,819,13445,12
dispute,47,4659
deposit,217,13447,13
deposit,461,13448,15
withdrawal,955,13449,5
deposit,646,13450,1
withdrawal,137,13451,2
withdrawal,576,13452,4
chargeback,47,4659
withdrawal,164,13455,18
withdrawal,73,13456,10
withdrawal,598,13457,1
deposit,876,13458,9
deposit,722,13459,3
deposit,100,13460,4
withdrawal,105,13461,9
deposit,250,13464,7
withdrawal,921,13465,1
deposit,109,13468,13
withdrawal,657,13469,10
withdrawal,805,13470,1
deposit,906,13471,14
deposit,626,13472,17
deposit,411,13475,3
withdrawal,24,13476,17
withdrawal,32,13477,16
withdrawal,763,13479,5
deposit,333,13480,7
withdrawal,314,13481,11
withdrawal,33,13482,2
withdrawal,382,13483,2
withdrawal,431,13484,11
deposit,227,13485,2
deposit,336,13486,16
deposit,428,13487,4
withdrawal,345,13489,9
deposit,542,13490,13
withdrawal,844,13492,10
withdrawal,245,13493,3
withdrawal,734,13495,16
deposit,820,13496,0
withdrawal,478,13497,18
deposit,865,13499,12
deposit,922,13500,6
withdrawal,949,13501,6
deposit,0,13503,8
deposit,535,13504,7
withdrawal,712,13505,10
deposit,440,13506,17
withdrawal,507,13507,4
withdrawal,711,13510,16
withdrawal,194,13511,0
withdrawal,936,13513,6
deposit,945,13514,4
withdrawal,768,13515,4
dispute,345,13489
deposit,561,13518,11
resolve,345,13489
deposit,144,13521,5
withdrawal,619,13523,3
deposit,764,13524,16
withdrawal,503,13525,10
withdrawal,33,13526,2
withdrawal,468,13528,8
withdrawal,974,13530,3
withdrawal,856,13531,18
deposit,988,13532,6
withdrawal,555,13533,10
deposit,321,13534,17
withdrawal,651,13535,4
deposit,0,13537,17
withdrawal,157,13538,4
dispute,584,604
deposit,22,13540,16
withdrawal,273,13541,19
deposit,742,13542,6
deposit,920,13543,0
deposit,220,13544,17
withdrawal,75,13545,3
deposit,657,13546,4
deposit,461,13547,4
deposit,937,13548,10
withdrawal,217,13549,19
withdrawal,80,13550,14
deposit,182,13551,10
deposit,114,13553,17
deposit,922,13554,1
withdrawal,710,13555,5
deposit,302,13556,13
withdrawal,145,13557,16
deposit,858,13558,8
resolve,584,604
withdrawal,592,13561,10
deposit,122,13563,14
withdrawal,451,13565,10
withdrawal,52,13566,17
withdrawal,392,13568,10
withdrawal,268,13569,18
deposit,897,13571,4
deposit,148,13572,10
withdrawal,748,13573,6
withdrawal,71,13575,8
withdrawal,910,13576,6
deposit,938,13577,7
deposit,661,13578,10
deposit,562,13579,2
deposit,652,13580,17
deposit,698,13584,5
withdrawal,232,13585,8
deposit,308,13586,3
deposit,826,13588,17
withdrawal,62,13589,0
withdrawal,865,13591,17
withdrawal,690,13593,18
dispute,345,10578
withdrawal,410,13596,4
chargeback,345,10578
deposit,247,13599,16
withdrawal,320,13600,5
withdrawal,718,13603,5
deposit,196,13604,19
withdrawal,985,13605,7
deposit,70,13607,6
deposit,551,13608,19
deposit,714,13609,1
deposit,227,13611,0
withdrawal,183,13612,5
dispute,840,5496
deposit,472,13614,12
deposit,578,13616,0
withdrawal,227,13617,15
withdrawal,42,13618,14
deposit,307,13619,13
deposit,831,13621,18
deposit,595,13622,11
withdrawal,56,13623,9
withdrawal,676,13625,4
withdrawal,33,13626,16
withdrawal,945,13627,11
deposit,288,13628,13
deposit,222,13629,7
deposit,743,13630,0
withdrawal,226,13631,18
resolve,840,5496
withdrawal,72,13635,6
withdrawal,701,13636,10
deposit,644,13637,12
withdrawal,79,13638,19
deposit,110,13639,16
withdrawal,647,13640,4
deposit,374,13641,14
deposit,239,13642,13
deposit,508,13643,3
withdrawal,159,13645,12
withdrawal,949,13647,3
deposit,170,13648,13
withdrawal,557,13649,19
withdrawal,968,13650,2
deposit,585,13651,12
deposit,262,13655,3
withdrawal,600,13656,10
deposit,256,13657,14
withdrawal,399,13658,18
withdrawal,350,13660,12
deposit,224,13661,6
withdrawal,211,13662,15
deposit,310,13663,11
deposit,209,13664,7
deposit,643,13665,1
withdrawal,860,13667,2
deposit,646,13668,6
deposit,479,13669,18
deposit,829,13670,19
withdrawal,164,13672,0
withdrawal,558,13673,6
deposit,666,13674,13
deposit,781,13675,13
deposit,367,13676,11
withdrawal,221,13677,7
dispute,275,6745
withdrawal,202,13682,17
deposit,740,13683,17
deposit,470,13687,5
deposit,722,13689,12
withdrawal,792,13690,16
deposit,938,13692,14
deposit,662,13693,14
deposit,74,13694,12
deposit,419,13695,6
withdrawal,495,13696,0
withdrawal,716,13697,9
deposit,395,13698,10
deposit,392,13701,15
withdrawal,890,13702,9
withdrawal,379,13703,7
deposit,389,13704,17
withdrawal,24,13706,1
withdrawal,145,13707,13
withdrawal,873,13708,5
deposit,272,13709,12
deposit,205,13710,19
deposit,359,13711,6
deposit,196,13712,12
deposit,601,13713,9
deposit,302,13715,17
withdrawal,374,13716,12
dispute,131,1354
deposit,300,13718,6
deposit,312,13719,8
deposit,690,13722,6
deposit,139,13723,8
withdrawal,590,13724,7
deposit,713,13725,18
withdrawal,958,13726,6
withdrawal,529,13727,7
deposit,312,13728,6
deposit,7,13729,6
deposit,954,13730,17
deposit,281,13731,11
withdrawal,409,13734,19
dispute,103,162
withdrawal,583,13736,18
deposit,648,13737,11
resolve,131,1354
deposit,502,13739,5
withdrawal,890,13740,14
deposit,962,13743,7
withdrawal,729,13744,1
deposit,618,13745,4
deposit,465,13746,17
deposit,537,13747,11
withdrawal,630,13748,10
deposit,148,13750,19
deposit,742,13751,9
withdrawal,769,13752,0
withdrawal,389,13753,11
dispute,486,5435
chargeback,275,6745
deposit,8,13756,15
dispute,159,12177
deposit,859,13759,18
deposit,588,13760,14
resolve,486,5435
withdrawal,472,13762,0
withdrawal,251,13763,13
deposit,516,13764,7
chargeback,103,162
withdrawal,300,13766,0
withdrawal,884,13767,2
deposit,459,13768,12
dispute,711,13510
withdrawal,26,13770,3
withdrawal,745,13771,4
withdrawal,123,13772,12
deposit,895,13773,1
resolve,159,12177
deposit,311,13775,8
withdrawal,881,13776,11
deposit,616,13777,19
withdrawal,127,13778,12
withdrawal,806,13779,14
deposit,823,13780,8
withdrawal,240,13781,7
withdrawal,944,13782,11
deposit,880,13783,4
withdrawal,251,13784,7
deposit,550,13785,11
withdrawal,583,13786,8
withdrawal,35,13787,12
deposit,993,13791,6
deposit,540,13792,2
withdrawal,506,13793,1
deposit,856,13794,2
chargeback,711,13510
deposit,456,13797,17
withdrawal,462,13798,11
deposit,395,13799,19
deposit,629,13800,0
withdrawal,579,13801,7
deposit,483,13803,12
deposit,231,13804,10
deposit,670,13805,15
deposit,651,13807,6
withdrawal,469,13808,16
deposit,698,13809,5
deposit,311,13810,15
deposit,35,13811,6
deposit,336,13813,6
deposit,463,13814,7
withdrawal,454,13815,14
withdrawal,112,13819,16
deposit,747,13820,1
withdrawal,127,13821,4
withdrawal,69,13822,9
withdrawal,322,13823,7
withdrawal,605,13824,1
deposit,864,13825,19
deposit,122,13826,13
deposit,248,13827,0
deposit,648,13829,13
deposit,200,13830,11
deposit,603,13833,1
withdrawal,355,13834,11
withdrawal,594,13835,15
withdrawal,325,13836,12
deposit,159,13837,9
withdrawal,793,13839,18
withdrawal,445,13840,19
deposit,84,13842,17
deposit,529,13843,15
withdrawal,643,13844,15
deposit,771,13845,18
deposit,576,13846,18
deposit,507,13847,14
deposit,30,13848,11
deposit,926,13849,18
deposit,782,13852,2
withdrawal,643,13853,11
withdrawal,28,13854,6
deposit,152,13855,14
withdrawal,718,13856,1
deposit,464,13857,10
deposit,954,13860,13
deposit,597,13861,1
withdrawal,989,13862,4
deposit,334,13863,10
withdrawal,971,13865,16
dispute,584,6570
deposit,989,13867,16
deposit,428,13868,18
dispute,349,13085
resolve,584,6570
chargeback,349,13085
deposit,429,13873,12
deposit,793,13875,7
withdrawal,691,13876,0
withdrawal,82,13877,10
withdrawal,788,13880,2
deposit,659,13881,17
withdrawal,278,13883,12
deposit,327,13887,3
dispute,988,2527
withdrawal,811,13889,1
withdrawal,130,13891,12
deposit,783,13892,1
withdrawal,955,13893,9
withdrawal,244,13894,7
deposit,700,13895,7
withdrawal,543,13896,15
withdrawal,871,13897,11
withdrawal,938,13898,18
withdrawal,482,13899,6
deposit,442,13900,4
withdrawal,822,13902,15
withdrawal,716,13903,1
withdrawal,832,13905,12
withdrawal,193,13906,3
withdrawal,750,13907,17
withdrawal,547,13908,16
deposit,108,13910,3
withdrawal,804,13911,18
withdrawal,954,13912,5
withdrawal,806,13913,10
deposit,147,13914,4
deposit,525,13915,4
chargeback,988,2527
deposit,327,13918,4
withdrawal,793,13919,5
withdrawal,721,13920,13
deposit,638,13922,2
withdrawal,316,13923,9
withdrawal,842,13924,1
withdrawal,912,13925,4
withdrawal,630,13928,17
deposit,787,13929,2
withdrawal,201,13930,17
deposit,192,13931,6
deposit,729,13932,16
deposit,568,13933,13
withdrawal,273,13934,10
withdrawal,129,13935,18
withdrawal,456,13936,17
deposit,860,13937,11
deposit,692,13938,0
deposit,455,13939,9
deposit,459,13940,3
deposit,831,13944,12
withdrawal,932,13945,17
withdrawal,236,13946,17
withdrawal,643,13947,7
deposit,427,13948,6
deposit,815,13949,17
withdrawal,71,13950,2
withdrawal,872,13951,13
withdrawal,143,13953,9
deposit,399,13954,1
withdrawal,877,13955,8
withdrawal,516,13957,16
withdrawal,995,13959,17
deposit,108,13960,9
deposit,848,13961,0
deposit,85,13962,9
withdrawal,783,13963,10
withdrawal,920,13964,2
withdrawal,712,13967,6
deposit,586,13970,7
withdrawal,629,13973,3
deposit,586,13974,14
withdrawal,263,13977,5
deposit,528,13978,9
deposit,285,13979,4
deposit,590,13980,17
deposit,674,13981,14
deposit,632,13984,5
deposit,647,13985,11
deposit,511,13986,15
deposit,488,13988,13
deposit,168,13989,18
deposit,281,13992,5
deposit,449,13994,14
withdrawal,390,13995,4
withdrawal,821,13998,13
deposit,84,13999,19
withdrawal,642,14001,13
deposit,677,14002,6
deposit,527,14003,12
deposit,412,14004,2
dispute,478,13259
deposit,112,14006,15
dispute,337,12985
withdrawal,269,14008,2
deposit,230,14010,15
deposit,197,14011,16
withdrawal,390,14012,10
withdrawal,963,14015,12
withdrawal,233,14017,14
withdrawal,835,14018,3
chargeback,478,13259
withdrawal,553,14021,4
withdrawal,601,14022,15
withdrawal,512,14024,1
dispute,212,12775
withdrawal,967,14027,15
deposit,23,14028,14
deposit,599,14031,11
deposit,927,14032,13
deposit,196,14033,6
withdrawal,532,14034,14
deposit,708,14035,12
dispute,309,13056
deposit,281,14037,4
resolve,212,12775
deposit,263,14042,8
withdrawal,782,14043,14
withdrawal,541,14045,12
withdrawal,542,14046,11
deposit,515,14047,14
deposit,254,14048,18
resolve,337,12985
withdrawal,2,14051,12
dispute,169,10770
withdrawal,179,14053,16
deposit,852,14055,8
withdrawal,8,14056,4
deposit,363,14057,7
withdrawal,382,14059,18
resolve,309,13056
withdrawal,428,14062,6
withdrawal,769,14063,11
withdrawal,367,14064,8
deposit,652,14065,12
deposit,923,14066,12
withdrawal,387,14067,19
deposit,195,14068,2
deposit,773,14069,6
deposit,8,14071,17
withdrawal,312,14072,15
withdrawal,322,14073,2
deposit,410,14075,7
withdrawal,765,14076,19
deposit,143,14079,11
withdrawal,800,14080,11
deposit,4,14081,8
deposit,400,14082,5
deposit,183,14084,14
withdrawal,654,14085,12
withdrawal,583,14086,4
deposit,946,14088,14
withdrawal,410,14089,11
withdrawal,455,14091,6
deposit,805,14093,2
deposit,749,14094,10
withdrawal,722,14097,2
withdrawal,716,14099,3
withdrawal,496,14101,19
deposit,926,14102,11
chargeback,169,10770
deposit,305,14104,18
deposit,343,14105,11
deposit,502,14106,14
deposit,741,14107,19
deposit,872,14108,19
deposit,221,14109,3
withdrawal,568,14110,5
withdrawal,986,14112,6
withdrawal,902,14113,2
deposit,160,14114,14
dispute,27,2943
chargeback,27,2943
withdrawal,127,14117,16
dispute,418,4427
withdrawal,841,14119,4
deposit,373,14120,5
withdrawal,621,14121,10
deposit,872,14122,4
deposit,643,14123,15
deposit,299,14124,17
deposit,434,14125,1
withdrawal,483,14126,5
deposit,167,14127,16
withdrawal,166,14128,18
chargeback,418,4427
deposit,6,14131,10
deposit,71,14132,1
deposit,709,14133,11
deposit,467,14136,9
deposit,494,14138,0
deposit,346,14139,17
deposit,427,14140,19
deposit,662,14141,6
withdrawal,785,14143,16
deposit,859,14145,17
deposit,343,14146,13
withdrawal,604,14147,0
withdrawal,164,14148,5
deposit,876,14149,17
withdrawal,856,14150,9
deposit,953,14151,8
deposit,154,14152,19
deposit,352,14153,8
deposit,859,14154,19
deposit,586,14156,4
deposit,695,14160,14
withdrawal,920,14162,17
withdrawal,585,14163,1
withdrawal,458,14164,2
deposit,379,14166,9
deposit,730,14167,11
deposit,838,14168,7
deposit,440,14170,19
deposit,920,14172,19
deposit,829,14173,10
deposit,333,14174,5
deposit,97,14178,1
deposit,211,14180,19
withdrawal,826,14181,9
deposit,503,14182,9
deposit,468,14183,11
deposit,963,14184,10
withdrawal,618,14185,11
deposit,548,14187,5
withdrawal,231,14188,11
deposit,310,14189,7
withdrawal,468,14190,15
deposit,36,14191,8
withdrawal,277,14192,13
deposit,356,14193,2
deposit,707,14194,12
deposit,130,14195,2
withdrawal,166,14196,13
withdrawal,477,14198,13
withdrawal,20,14199,5
withdrawal,178,14201,15
deposit,313,14202,4
withdrawal,826,14203,17
withdrawal,620,14204,6
withdrawal,263,14205,8
withdrawal,153,14206,10
deposit,524,14208,11
deposit,462,14209,7
withdrawal,740,14210,2
deposit,871,14211,4
deposit,753,14212,0
withdrawal,741,14214,0
withdrawal,318,14216,1
deposit,780,14217,16
withdrawal,666,14218,5
withdrawal,792,14219,6
withdrawal,558,14220,13
withdrawal,341,14222,10
dispute,271,515
withdrawal,662,14224,3
withdrawal,923,14225,18
deposit,868,14226,15
chargeback,271,515
withdrawal,631,14228,13
deposit,486,14232,2
deposit,550,14235,8
withdrawal,31,14236,6
withdrawal,664,14237,6
withdrawal,92,14239,6
withdrawal,879,14240,3
deposit,832,14241,12
withdrawal,337,14242,7
deposit,443,14246,7
deposit,629,14247,13
deposit,904,14250,17
withdrawal,14,14251,13
deposit,806,14252,8
withdrawal,8,14254,18
deposit,132,14255,19
withdrawal,307,14256,16
deposit,719,14257,3
deposit,990,14258,14
deposit,867,14260,2
deposit,939,14262,18
deposit,938,14263,10
dispute,721,10249
deposit,507,14265,6
resolve,721,10249
deposit,630,14267,11
deposit,749,14268,5
withdrawal,631,14269,11
withdrawal,210,14270,18
deposit,320,14271,4
withdrawal,743,14272,19
withdrawal,664,14274,2
deposit,732,14275,19
withdrawal,735,14276,2
deposit,359,14277,11
deposit,153,14279,13
withdrawal,224,14280,16
withdrawal,408,14281,17
deposit,225,14282,19
withdrawal,55,14283,8
deposit,329,14284,12
withdrawal,163,14285,8
withdrawal,922,14286,11
deposit,563,14287,3
withdrawal,262,14288,1
deposit,681,14289,10
deposit,75,14291,2
deposit,330,14292,4
deposit,368,14293,14
withdrawal,343,14294,12
withdrawal,492,14295,14
withdrawal,935,14296,19
deposit,901,14298,0
withdrawal,211,14299,0
withdrawal,452,14300,17
withdrawal,856,14301,4
deposit,171,14302,16
dispute,500,7189
withdrawal,972,14307,1
deposit,949,14308,11
withdrawal,996,14309,13
withdrawal,189,14310,7
withdrawal,168,14312,10
deposit,643,14313,19
withdrawal,804,14314,17
deposit,956,14315,3
chargeback,500,7189
deposit,827,14318,7
dispute,133,9428
deposit,880,14320,8
withdrawal,609,14321,5
deposit,149,14322,3
withdrawal,353,14323,6
deposit,68,14326,3
chargeback,133,9428
withdrawal,892,14330,3
withdrawal,785,14331,18
deposit,906,14333,19
withdrawal,352,14334,4
withdrawal,408,14335,7
withdrawal,87,14337,1
deposit,841,14339,15
deposit,144,14340,8
withdrawal,856,14341,5
deposit,236,14342,16
withdrawal,631,14344,0
deposit,627,14345,19
withdrawal,198,14347,18
withdrawal,270,14348,0
deposit,905,14349,18
withdrawal,690,14350,11
deposit,321,14351,13
deposit,463,14352,2
deposit,856,14353,4
deposit,383,14354,15
deposit,352,14355,5
deposit,61,14356,11
deposit,337,14358,18
withdrawal,844,14359,14
deposit,604,14361,12
withdrawal,721,14362,4
deposit,746,14363,12
deposit,583,14364,15
withdrawal,382,14365,9
withdrawal,547,14366,3
withdrawal,595,14367,18
withdrawal,139,14368,13
deposit,944,14369,7
deposit,359,14372,5
withdrawal,291,14373,0
withdrawal,65,14374,2
withdrawal,865,14375,13
withdrawal,145,14376,17
deposit,300,14377,6
withdrawal,227,14378,7
deposit,245,14379,17
deposit,823,14380,7
withdrawal,492,14381,11
deposit,223,14382,14
deposit,873,14383,6
deposit,719,14384,5
deposit,261,14385,16
withdrawal,710,14386,2
dispute,79,4868
withdrawal,35,14388,2
dispute,727,12848
resolve,79,4868
deposit,18,14393,10
dispute,581,7208
withdrawal,450,14395,15
deposit,541,14396,17
deposit,963,14398,15
deposit,700,14399,14
deposit,235,14401,16
resolve,727,12848
withdrawal,898,14404,1
deposit,683,14405,17
deposit,215,14406,3
deposit,819,14407,13
withdrawal,460,14408,2
deposit,239,14412,16
chargeback,581,7208
deposit,922,14415,6
withdrawal,222,14416,12
deposit,108,14417,6
deposit,431,14418,1
deposit,601,14419,4
deposit,585,14421,16
deposit,906,14423,17
deposit,144,14424,10
withdrawal,709,14425,17
withdrawal,383,14426,9
deposit,439,14427,13
deposit,221,14430,6
withdrawal,442,14431,5
deposit,158,14434,4
withdrawal,770,14435,15
withdrawal,936,14436,8
withdrawal,735,14439,0
deposit,221,14440,0
withdrawal,461,14441,1
withdrawal,775,14442,5
withdrawal,971,14443,16
withdrawal,964,14444,0
withdrawal,83,14445,8
deposit,208,14447,4
dispute,856,9192
deposit,599,14455,11
deposit,520,14456,17
deposit,109,14458,4
deposit,584,14459,4
dispute,604,14361
resolve,856,9192
deposit,893,14463,3
deposit,34,14464,3
deposit,309,14465,3
deposit,793,14466,17
deposit,435,14468,0
withdrawal,207,14469,16
deposit,547,14470,13
deposit,309,14471,10
deposit,62,14472,6
deposit,151,14473,5
withdrawal,835,14475,15
deposit,879,14476,7
withdrawal,946,14477,0
deposit,770,14478,9
withdrawal,270,14479,11
withdrawal,196,14480,3
deposit,682,14481,12
withdrawal,669,14482,10
deposit,96,14483,0
chargeback,604,14361
deposit,777,14485,18
deposit,678,14486,19
withdrawal,628,14487,13
withdrawal,173,14488,7
deposit,240,14490,3
withdrawal,175,14491,3
deposit,913,14492,13
withdrawal,291,14493,4
withdrawal,689,14494,1
deposit,654,14495,7
withdrawal,342,14497,2
deposit,954,14498,5
withdrawal,6,14501,11
deposit,868,14502,10
withdrawal,268,14503,15
deposit,680,14505,12
withdrawal,857,14506,2
deposit,368,14507,9
deposit,99,14508,1
withdrawal,676,14509,17
withdrawal,68,14510,15
deposit,282,14512,4
withdrawal,198,14513,8
withdrawal,686,14514,14
deposit,472,14515,18
withdrawal,175,14516,12
deposit,810,14519,17
dispute,458,2254
deposit,543,14522,2
withdrawal,700,14524,13
withdrawal,66,14525,4
deposit,961,14526,0
withdrawal,186,14527,9
withdrawal,877,14528,19
withdrawal,818,14529,13
deposit,123,14530,7
withdrawal,827,14533,0
deposit,330,14534,9
deposit,734,14535,10
deposit,923,14537,10
withdrawal,329,14538,4
deposit,192,14539,15
deposit,60,14540,6
withdrawal,288,14541,3
withdrawal,772,14542,15
withdrawal,873,14543,8
deposit,385,14544,2
withdrawal,554,14545,1
dispute,820,6047
withdrawal,374,14547,7
withdrawal,594,14548,14
resolve,458,2254
withdrawal,104,14551,16
withdrawal,810,14552,17
withdrawal,634,14554,16
chargeback,820,6047
withdrawal,300,14556,16
withdrawal,662,14558,15
withdrawal,926,14559,0
dispute,163,7607
withdrawal,533,14561,9
deposit,411,14562,16
dispute,14,6700
deposit,856,14564,14
deposit,945,14565,3
deposit,753,14567,7
deposit,889,14568,19
deposit,696,14569,15
withdrawal,327,14574,7
withdrawal,163,14576,1
withdrawal,387,14577,0
resolve,163,7607
deposit,621,14580,1
deposit,321,14581,14
dispute,974,9158
withdrawal,830,14583,11
deposit,901,14586,14
withdrawal,26,14587,10
deposit,179,14589,7
dispute,655,4534
deposit,476,14591,12
deposit,771,14592,2
deposit,192,14593,4
deposit,430,14594,1
withdrawal,756,14595,14
deposit,356,14597,16
withdrawal,839,14599,5
dispute,697,6303
withdrawal,516,14601,5
resolve,14,6700
deposit,367,14603,4
deposit,540,14604,13
withdrawal,844,14605,11
deposit,289,14606,3
deposit,674,14609,13
chargeback,974,9158
deposit,629,14611,10
deposit,10,14613,8
withdrawal,343,14614,11
withdrawal,329,14616,4
withdrawal,495,14617,3
deposit,729,14618,0
dispute,98,12920
withdrawal,36,14621,17
resolve,655,4534
withdrawal,428,14623,17
deposit,678,14624,10
withdrawal,461,14625,15
withdrawal,703,14626,9
deposit,359,14627,7
chargeback,697,6303
withdrawal,880,14629,4
withdrawal,783,14630,19
deposit,983,14631,0
deposit,100,14632,6
deposit,528,14633,10
withdrawal,507,14634,14
deposit,168,14635,19
withdrawal,590,14636,6
resolve,98,12920
deposit,938,14640,16
deposit,781,14644,13
withdrawal,845,14646,14
deposit,550,14647,14
deposit,391,14648,14
deposit,566,14649,8
deposit,22,14650,6
deposit,663,14651,15
withdrawal,922,14652,0
deposit,972,14653,15
withdrawal,564,14654,10
deposit,600,14656,9
deposit,484,14657,13
deposit,915,14658,5
deposit,74,14659,17
withdrawal,2,14660,5
deposit,81,14661,18
withdrawal,6,14664,3
deposit,968,14665,2
withdrawal,6,14667,8
withdrawal,466,14668,4
deposit,280,14670,16
deposit,97,14673,9
withdrawal,803,14675,7
withdrawal,8,14676,15
withdrawal,854,14677,15
withdrawal,616,14678,5
deposit,858,14679,0
deposit,322,14682,9
deposit,277,14687,0
deposit,258,14688,12
withdrawal,143,14689,7
withdrawal,412,14690,19
withdrawal,352,14691,4
deposit,410,14692,5
withdrawal,484,14693,16
withdrawal,972,14694,4
deposit,149,14695,11
dispute,219,12864
deposit,258,14698,5
resolve,219,12864
deposit,921,14700,11
deposit,422,14701,2
withdrawal,268,14702,8
withdrawal,513,14706,12
withdrawal,173,14707,8
deposit,594,14708,19
deposit,223,14709,18
deposit,269,14710,5
withdrawal,435,14712,10
withdrawal,376,14713,14
deposit,23,14714,11
withdrawal,85,14715,3
withdrawal,105,14716,13
deposit,621,14717,11
deposit,806,14718,0
withdrawal,504,14719,17
deposit,873,14720,7
withdrawal,890,14722,12
deposit,929,14723,10
withdrawal,827,14724,12
deposit,474,14726,14
deposit,953,14727,6
dispute,442,1536
withdrawal,277,14730,7
deposit,685,14731,14
deposit,533,14732,3
withdrawal,460,14734,5
withdrawal,350,14735,5
withdrawal,616,14736,18
withdrawal,542,14737,8
deposit,918,14738,3
resolve,442,1536
withdrawal,669,14740,4
withdrawal,986,14741,14
deposit,548,14742,9
deposit,26,14743,6
deposit,540,14744,17
withdrawal,466,14745,6
deposit,864,14748,17
deposit,893,14749,2
withdrawal,936,14750,11
withdrawal,66,14752,2
deposit,373,14753,19
deposit,584,14754,14
deposit,260,14755,17
withdrawal,757,14756,6
withdrawal,464,14757,9
withdrawal,464,14759,16
withdrawal,503,14760,1
deposit,504,14761,7
withdrawal,262,14763,11
dispute,145,1262
withdrawal,315,14766,2
resolve,145,1262
withdrawal,429,14768,15
withdrawal,815,14769,8
dispute,968,2178
deposit,229,14771,15
deposit,74,14772,0
deposit,28,14773,11
deposit,775,14774,15
withdrawal,167,14775,15
deposit,582,14776,12
deposit,538,14777,8
withdrawal,373,14778,19
withdrawal,768,14779,13
resolve,968,2178
deposit,344,14783,4
withdrawal,570,14787,17
